p,r,w,v,T
17,0,25,2,146
13,0,25,1,130
15,0,25,1,155
16,4,25,1,107
13,5,25,1,127
18,5,25,2,126
15,1,25,4,195
15,7,25,4,111
18,1,20,1,139
7,3,25,2,197
13,9,25,1,117
18,20,18,2,122
17,7,25,1,115
23,5,25,4,189
10,15,25,1,182
13,18,25,1,194
24,15,25,1,156
19,4,23,1,128
13,9,16,2,141
15,12,25,4,106
18,15,25,4,145
15,13,25,1,136
14,27,19,1,176
16,14,23,4,105
15,18,25,4,187
19,46,24,4,146
12,20,25,1,189
14,29,25,2,197
14,7,25,4,186
12,53,25,2,137
19,18,25,1,201
24,4,25,4,153
10,39,21,1,183
17,25,25,1,112
12,4,23,2,110
11,64,25,1,131
12,27,16,2,119
17,13,25,1,129
13,23,25,1,109
20,36,25,1,106
10,5,25,1,118
16,75,25,4,112
12,20,21,1,164
14,10,25,4,153
21,33,25,2,142
13,27,25,4,177
20,28,25,1,101
21,86,25,4,193
21,18,25,1,178
13,52,25,2,181
8,18,16,1,103
12,12,25,1,165
18,40,25,2,137
10,32,25,4,157
12,41,25,4,195
17,100,25,2,156
8,14,25,1,193
14,14,25,2,194
16,106,25,1,138
17,54,25,1,137
15,22,25,4,170
21,7,25,2,191
18,66,22,1,147
15,77,25,2,182
20,68,25,1,144
14,59,25,1,112
12,32,25,1,200
12,33,25,2,200
15,62,18,2,183
20,34,25,2,161
14,34,25,4,198
10,9,15,1,195
7,55,19,1,135
17,9,25,2,174
20,9,25,1,162
11,9,24,1,169
15,18,25,1,192
17,28,24,4,165
13,28,25,1,168
17,72,25,1,171
14,97,25,1,125
14,39,25,4,106
18,40,25,1,104
15,88,24,4,184
14,89,25,1,103
27,103,25,2,190
10,92,15,1,105
17,106,25,1,194
9,43,25,1,165
18,162,25,1,183
