p,r,w,v,T,d
18,0,20,2,186,271
20,1,16,2,145,387
10,4,14,1,159,510
13,1,25,2,117,410
10,4,6,1,117,402
19,6,11,1,117,598
10,11,25,1,163,177
11,7,22,1,177,356
14,3,22,1,194,416
6,2,16,1,127,210
14,12,11,1,154,308
15,5,6,1,132,501
19,7,19,1,149,193
29,6,18,1,155,412
13,2,14,1,138,386
21,19,18,2,119,272
29,15,23,1,176,335
14,21,21,1,101,554
19,7,10,2,133,274
13,7,13,1,201,361
14,5,7,1,156,44
5,16,25,1,118,464
5,3,12,1,121,243
13,25,25,1,165,345
10,22,6,2,125,364
13,19,20,1,112,461
10,20,9,1,198,345
13,29,6,1,154,406
11,26,25,1,134,292
4,23,6,1,154,176
13,15,12,1,201,585
12,39,12,1,132,575
17,8,10,3,141,329
28,4,15,1,124,359
20,37,24,1,100,313
18,38,25,1,107,346
24,45,17,1,164,502
19,69,9,1,152,433
20,5,5,1,114,465
26,24,7,2,185,474
22,20,24,1,178,370
16,38,8,1,145,484
19,21,13,2,106,527
18,47,21,1,145,337
18,82,17,1,106,356
17,56,6,1,132,613
19,86,10,1,154,209
17,58,19,1,179,513
18,18,17,1,173,330
19,18,20,1,108,348
11,31,21,1,151,550
19,19,17,1,103,361
19,57,13,1,174,259
14,99,23,1,181,140
15,67,6,1,137,531
18,43,11,2,195,138
13,21,5,1,146,338
10,14,8,3,181,308
11,29,22,1,164,240
14,46,6,1,132,375
14,22,16,1,167,350
13,114,16,1,170,420
18,77,10,2,131,523
22,49,17,1,193,408
17,80,18,3,145,504
18,121,24,1,154,411
25,41,16,1,132,446
11,42,6,2,166,296
9,8,15,2,140,272
16,26,10,1,162,520
21,54,19,1,149,506
19,88,22,1,141,616
17,134,17,1,172,412
27,57,22,2,197,361
15,46,9,1,120,402
13,9,19,1,112,281
13,28,5,1,100,442
25,38,19,1,130,452
7,19,19,2,169,269
20,29,25,1,122,170
7,99,13,1,182,361
9,30,9,2,111,480
4,51,25,1,191,542
12,90,16,1,111,334
11,21,17,1,102,233
14,106,24,1,112,603
12,53,19,1,185,330
18,43,12,1,149,363
19,82,6,1,123,325
8,11,14,1,116,361
14,98,16,1,113,256
10,99,21,1,128,257
13,46,14,2,199,196
19,101,24,1,175,442
12,117,23,2,175,492
21,89,8,1,116,157
18,104,21,1,165,305
11,48,7,1,101,634
11,37,7,1,172,319
15,185,23,1,181,495
20,187,5,1,124,501
8,13,9,1,162,251
2,111,11,1,187,467
15,128,18,1,154,422
12,129,12,1,168,176
20,196,5,1,153,260
15,198,23,1,187,250
14,200,20,1,110,445
17,67,15,1,166,403
12,41,25,1,132,472
21,55,9,1,188,318
14,138,16,1,190,202
20,87,15,1,128,263
18,105,16,1,126,373
11,89,22,2,107,380
7,125,12,1,164,498
18,43,22,1,148,383
19,218,8,1,172,429
14,73,13,1,176,458
11,59,12,1,173,302
15,60,12,1,124,172
17,94,21,1,109,263
18,15,21,1,113,572
23,96,13,2,112,302
10,62,24,1,127,395
16,136,11,1,122,517
11,235,18,1,176,439
16,79,5,1,136,479
17,239,25,1,183,307
12,241,12,2,189,511
19,32,8,1,119,186
13,49,21,1,170,553
8,123,19,1,117,490
15,83,14,1,164,247
15,146,12,1,122,357
19,34,5,1,100,94
19,51,6,1,142,336
