p,r,w,v,T
15,0,22,1,121
13,0,16,1,198
13,0,17,1,130
15,1,23,2,126
11,1,22,3,136
13,2,12,1,191
17,1,13,1,101
13,3,19,1,179
13,7,17,1,127
16,8,12,1,146
11,9,14,1,156
22,10,17,1,148
21,3,24,1,123
19,16,14,1,197
17,17,24,1,129
10,14,20,1,128
13,17,14,1,152
12,21,13,2,149
17,14,17,1,102
14,11,22,1,196
15,7,12,1,169
20,3,11,3,174
12,17,22,1,190
11,11,13,1,164
19,29,24,1,142
10,19,16,1,139
19,6,21,1,167
14,20,14,1,140
21,17,13,1,113
16,35,11,1,141
15,32,15,1,174
11,56,11,1,118
14,4,16,2,145
19,60,11,1,169
14,36,15,5,100
14,32,25,1,194
17,13,17,1,107
18,33,17,1,197
14,23,25,1,125
13,19,15,1,119
17,48,15,1,120
16,74,16,1,159
13,15,11,1,199
20,21,24,1,102
18,53,18,1,120
8,81,16,2,119
14,49,17,1,160
15,11,18,1,114
12,17,11,1,146
9,89,21,1,184
17,38,14,1,146
14,46,13,1,147
18,63,23,1,115
19,26,25,2,172
15,98,20,2,197
12,100,22,1,151
14,14,23,3,168
15,103,11,1,162
18,105,22,2,132
14,71,21,1,110
15,14,20,1,151
19,110,16,1,188
14,37,23,1,197
16,38,14,2,161
16,23,19,1,156
15,118,14,2,120
11,32,18,1,109
18,16,16,2,104
12,123,13,1,103
16,125,12,1,160
15,34,15,1,101
14,43,22,1,194
16,17,11,1,116
13,9,15,3,184
14,27,14,2,145
10,45,20,1,142
12,37,24,1,169
12,70,24,1,135
17,82,11,1,140
13,29,12,3,100
23,19,25,1,135
10,29,23,1,170
17,40,19,1,136
11,100,18,3,106
20,89,14,4,153
16,41,12,1,152
14,10,16,2,133
11,92,12,1,165
15,21,14,1,135
14,11,20,1,102
11,22,17,1,150
14,165,15,1,137
14,111,21,1,162
20,70,24,1,185
19,113,25,1,137
13,86,11,1,182
16,87,15,1,177
17,35,20,1,121
16,47,23,1,126
16,75,25,1,186
18,181,12,1,138
20,183,20,1,184
14,92,24,1,161
14,25,25,1,103
18,94,23,1,160
16,95,13,1,128
20,112,23,1,144
14,113,21,3,154
15,52,23,1,126
17,82,17,1,193
22,13,13,1,156
7,27,16,2,101
11,84,12,1,163
20,41,15,3,177
15,206,18,1,138
14,55,13,1,173
15,28,19,2,189
14,71,18,1,107
10,57,20,1,161
15,72,13,1,189
13,109,21,1,126
16,128,20,1,110
16,110,23,1,184
15,59,25,1,193
17,93,24,1,127
15,226,15,1,135
16,15,21,2,134
12,153,14,3,145
8,77,20,1,185
13,78,25,1,193
13,137,21,2,145
17,119,19,1,153
12,64,18,1,149
13,64,19,1,120
19,81,16,1,178
18,122,14,1,121
14,164,23,1,193
17,248,13,1,174
12,33,15,1,188
18,67,20,2,183
15,106,15,1,127
15,106,20,1,116
18,257,21,1,114
17,151,17,1,173
15,52,20,1,177
15,17,11,1,189
15,53,12,1,142
18,133,22,1,110
18,71,25,1,188
12,18,23,1,138
15,158,20,1,115
14,73,21,1,170
10,160,11,2,163
19,92,16,1,142
16,186,18,2,102
18,164,14,1,182
17,118,19,1,140
16,284,25,1,135
14,57,19,1,183
16,192,13,1,175
13,97,24,2,159
23,97,12,1,173
17,293,16,1,105
18,147,11,1,104
12,79,16,1,103
12,149,25,1,168
20,200,20,1,145
18,151,20,1,153
12,81,20,1,169
12,204,16,1,121
13,62,18,2,140
16,41,19,1,102
12,207,24,3,101
15,183,14,1,132
17,63,20,1,100
13,185,19,2,160
18,212,11,3,157
12,320,23,1,144
19,43,15,1,140
14,189,18,2,108
18,190,24,1,160
10,218,11,2,129
16,110,24,1,182
15,221,23,1,192
14,333,14,1,115
15,139,20,1,129
18,67,23,1,135
15,45,23,1,122
13,91,12,1,166
15,228,23,1,135
14,23,17,1,188
17,23,13,1,189
16,116,20,1,112
13,146,17,2,103
16,47,18,1,186
17,147,16,3,105
14,177,24,1,182
13,149,24,1,129
15,119,13,1,155
16,72,11,2,129
13,362,17,3,148
11,212,12,1,131
14,24,17,1,182
13,122,21,3,196
17,185,21,3,167
12,74,24,1,108
14,50,20,1,169
15,25,20,1,137
17,376,24,2,170
15,378,25,1,119
14,127,12,1,163
13,127,13,2,123
11,256,14,1,109
17,128,21,1,107
13,387,18,1,139
12,104,22,1,114
17,26,20,1,113
10,262,14,1,160
13,263,23,1,101
14,165,20,1,167
14,53,20,2,117
15,80,22,1,175
18,107,24,2,159
15,81,23,1,142
20,54,14,2,152
15,204,16,1,179
22,109,15,1,158
12,274,16,4,126
16,206,24,1,169
14,55,20,1,123
21,416,12,1,119
15,418,21,1,124
16,175,11,1,122
15,28,12,1,168
14,176,21,1,119
16,425,22,1,162
11,142,21,1,192
15,114,24,3,180
16,431,17,1,159
18,29,23,1,193
13,434,25,1,142
6,182,23,1,160
18,88,20,1,128
14,88,24,1,108
11,88,12,1,154
11,59,20,1,138
14,30,16,1,118
20,261,14,1,134
18,90,22,1,189
17,60,23,1,121
13,452,12,1,201
11,265,22,1,131
15,61,20,1,160
15,92,18,3,113
16,61,14,1,195
15,31,24,1,114
17,309,12,1,116
12,31,25,1,159
15,156,11,1,156
21,31,23,1,188
13,63,11,1,114
14,157,22,1,153
16,32,18,1,120
18,238,14,1,112
20,239,12,1,124
15,64,21,2,130
13,128,16,1,137
15,201,24,1,192
15,97,16,1,171
17,162,15,1,104
16,65,23,1,129
13,131,13,1,191
13,287,25,1,149
18,132,12,2,200
20,248,13,1,150
19,166,18,1,172
16,67,24,1,138
13,33,25,3,138
14,134,15,1,141
14,67,24,3,199
16,211,19,3,146
15,254,14,1,158
11,510,19,2,174
14,102,16,1,123
15,34,19,1,120
14,344,18,1,160
14,518,15,2,107
16,69,24,2,175
22,35,21,1,104
17,105,21,1,129
15,105,18,1,148
16,70,18,1,127
15,176,12,2,122
18,177,14,1,141
14,532,11,2,139
17,222,19,1,153
16,71,24,1,103
10,107,17,1,176
19,315,13,1,151
14,144,25,1,165
16,145,18,1,136
16,109,25,2,196
10,109,25,2,108
16,110,14,1,142
15,229,23,1,115
17,230,24,1,143
12,369,21,1,154
14,324,18,1,152
11,111,25,1,113
12,280,25,1,172
16,112,11,1,179
16,188,12,1,195
13,376,23,1,188
18,189,20,1,151
11,189,11,2,116
12,38,19,2,169
13,76,14,2,174
18,287,23,2,145
15,336,22,1,175
17,241,17,1,163
14,579,22,1,148
19,290,18,1,157
17,155,25,1,167
