,p,w,v,"p,w","p,v","w,v","p,w,v","p,w,v,m"
POH,840.7453188,861.9480155,839.5230685,850.2591138,846.5920438,858.5203371,856.1394861,847.2106102
POH,1070.614365,1059.908346,1066.615888,1068.694213,1062.356127,1063.456299,1057.389364,1059.044884
POH,1450.373416,1406.76408,1453.919336,1436.621537,1463.139016,1451.721829,1460.426044,1445.931386
POH,1136.303323,1143.09451,1141.681801,1148.925187,1145.990162,1144.79538,1145.162437,1149.350276
POH,1356.893744,1316.009984,1362.236663,1338.471361,1365.818843,1347.289421,1356.505896,1352.12826
POH,264.8852244,261.5592277,267.2868587,263.2422074,266.4394131,263.8580334,265.2729971,266.2221723
POH,919.0665486,961.8014308,932.1137688,952.1980209,923.5583621,959.7546776,952.6035265,943.1586008
POH,879.1409018,879.4306911,878.0547745,878.5167594,897.4283142,892.4284154,887.9562443,876.2639621
POH,1196.402291,1176.027534,1196.149032,1189.814625,1199.585072,1179.340554,1181.889304,1178.400141
POH,1134.740854,1141.351799,1137.335408,1146.759365,1133.669634,1147.084484,1151.094785,1144.489315
POH,1257.031978,1239.751532,1265.65109,1257.064719,1272.006167,1269.419379,1268.389459,1261.447214
POH,895.682655,871.3082634,901.3795766,886.175542,894.3429518,893.520267,895.965972,886.047208
POH,1089.760516,1108.4443,1120.430184,1115.123186,1115.815541,1127.017004,1117.705484,1102.04477
POH,1493.95968,1432.308682,1505.284206,1466.074873,1503.208797,1486.009164,1492.68526,1471.655152
POH,978.900183,969.6998967,968.6560833,980.6807861,983.3722908,983.5766163,996.6498644,974.7121935
POH,1484.894515,1424.764316,1488.970306,1477.119882,1503.251144,1488.344347,1489.702096,1481.162798
POH,878.5894915,917.139485,860.3688215,914.2422419,867.6525544,909.8741052,909.5061094,893.8174332
POH,1269.635307,1248.773731,1268.419256,1261.860777,1280.298737,1272.877284,1279.677114,1252.03572
POH,770.1067688,791.476748,761.7920751,790.8027453,779.100517,793.0824059,794.5418076,785.5633633
POH,829.7737472,943.8156599,842.9571586,917.3193055,843.5956964,921.9521112,904.4952869,891.799752
POH,1404.860112,1331.795799,1423.049984,1390.212879,1429.205399,1374.587022,1398.543811,1375.843461
